,bathrooms,bedrooms,price,price_type,square_feet,state
158,1.0,1.0,885.0,Monthly,660,TX
159,1.0,0.0,1130.0,Monthly,490,OR
160,2.0,2.0,1650.0,Monthly,789,FL
161,2.5,3.0,4525.0,Monthly,1884,MI
162,1.0,1.0,625.0,Monthly,650,NE
163,1.0,1.0,595.0,Monthly,615,AR
164,1.0,1.0,1370.0,Monthly,708,WI
165,1.0,2.0,1675.0,Monthly,725,PA
166,1.0,1.0,985.0,Monthly,642,TX
167,2.5,2.0,2200.0,Monthly,1082,CA
168,1.0,1.0,825.0,Monthly,856,TX
169,3.0,3.0,1895.0,Monthly,1820,NE
170,2.5,3.0,2047.0,Monthly,1851,FL
171,1.0,1.0,1155.0,Monthly,697,TX
172,1.0,3.0,1210.0,Monthly,597,TX
173,1.0,1.0,1554.0,Monthly,777,TX
174,1.0,1.0,1130.0,Monthly,792,TX
175,1.0,1.0,1125.0,Monthly,658,TX
176,1.0,1.0,1391.0,Monthly,677,TX
177,1.0,2.0,1050.0,Monthly,508,TX
178,1.0,1.0,2500.0,Monthly,724,TX
179,1.0,1.0,2184.0,Monthly,835,TX
180,1.0,2.0,1950.0,Monthly,975,PA
181,1.0,1.0,2186.0,Monthly,843,TX
182,1.0,1.0,930.0,Monthly,610,TX
183,1.0,1.0,999.0,Monthly,522,PA
184,1.0,3.0,1650.0,Monthly,750,IL
185,1.5,2.0,1545.0,Monthly,885,UT
186,2.0,3.0,1899.0,Monthly,1307,FL
187,2.0,2.0,1950.0,Monthly,1070,IL
188,1.0,1.0,2990.0,Monthly,794,MI
189,2.5,2.0,2350.0,Monthly,1451,CA
190,1.0,2.0,2195.0,Monthly,816,CA
191,3.0,4.0,3850.0,Monthly,2440,CA
192,1.0,1.0,2990.0,Monthly,661,MI
193,2.0,5.0,6300.0,Monthly,2100,MA
194,1.0,2.0,1230.0,Monthly,457,ID
195,1.0,1.0,1395.0,Monthly,500,IL
196,1.0,1.0,2295.0,Monthly,332,CA
197,2.0,3.0,1199.0,Monthly,1200,SC
198,1.0,1.0,646.0,Monthly,656,ID
199,1.0,1.0,895.0,Monthly,690,TX
200,1.0,1.0,884.0,Monthly,622,TX
201,1.0,1.0,640.0,Monthly,530,IA
202,1.0,1.0,1756.0,Monthly,862,RI
203,2.0,4.0,1900.0,Monthly,1150,IL
204,1.0,1.0,1209.0,Monthly,500,OR
205,2.0,2.0,1568.0,Monthly,828,PA
206,1.0,1.0,1180.0,Monthly,664,IN
207,1.0,2.0,900.0,Monthly,551,MN
208,1.0,2.0,1040.0,Monthly,470,IN
209,3.0,3.0,960.0,Monthly,1470,IN
210,1.0,2.0,820.0,Monthly,916,ND
211,2.0,4.0,1440.0,Monthly,1832,KS
212,2.0,3.0,1299.0,Monthly,1358,AZ
213,1.0,2.0,1631.0,Monthly,499,CA
214,1.0,1.0,1020.0,Monthly,740,AZ
215,1.0,1.0,1125.0,Monthly,676,OH
216,1.0,1.0,1211.0,Monthly,866,NC
217,2.0,2.0,1010.0,Monthly,1100,NC
218,1.0,1.0,1675.0,Monthly,682,CA
219,2.0,3.0,1500.0,Monthly,1382,MO
220,1.0,2.0,944.0,Monthly,1125,IN
221,1.0,3.0,950.0,Monthly,680,TN
222,2.0,2.0,1004.0,Monthly,912,TN
223,1.0,1.0,3795.0,Monthly,648,CA
224,1.0,1.0,1875.0,Monthly,732,WA
225,1.0,2.0,1050.0,Monthly,579,TX
226,2.0,3.0,1499.0,Monthly,1665,NC
227,1.0,0.0,1495.0,Monthly,138,CA
228,1.0,1.0,791.0,Monthly,717,MO
229,1.0,1.0,1417.0,Monthly,840,TX
230,1.0,1.0,1109.0,Monthly,678,TX
231,2.5,3.0,1695.0,Monthly,1542,ND
232,2.0,2.0,2795.0,Monthly,900,CA
233,2.0,2.0,950.0,Monthly,1500,AL
234,1.0,2.0,875.0,Monthly,950,OK
235,2.0,2.0,2595.0,Monthly,1025,CA
236,1.0,2.0,1499.0,Monthly,540,CA
237,1.0,1.0,4500.0,Monthly,769,CA
238,2.0,3.0,1400.0,Monthly,1285,NC
239,1.0,1.0,1025.0,Monthly,545,UT
240,1.0,2.0,1450.0,Monthly,1215,MO
241,1.0,1.0,750.0,Monthly,734,ID
242,1.0,2.0,2540.0,Monthly,1500,CO
243,1.0,1.0,2600.0,Monthly,800,CA
244,1.0,1.0,1595.0,Monthly,642,CA
245,1.0,1.0,1750.0,Monthly,720,OR
246,2.0,3.0,2150.0,Monthly,2120,FL
247,2.0,3.0,995.0,Monthly,1120,ND
248,2.0,3.0,1265.0,Monthly,1800,MO
249,1.5,1.0,1595.0,Monthly,700,WA
250,1.0,2.0,695.0,Monthly,900,SD
251,1.0,1.0,825.0,Monthly,621,NY
252,2.0,2.0,1995.0,Monthly,1601,ID
253,1.0,0.0,850.0,Monthly,400,TX
254,1.0,2.0,1050.0,Monthly,1100,NE
255,1.0,1.0,873.0,Monthly,820,GA
256,1.0,1.0,925.0,Monthly,670,NE
257,1.0,2.0,1650.0,Monthly,1200,IL
258,1.0,1.0,989.0,Monthly,791,TX
259,1.0,1.0,605.0,Monthly,717,KY
260,1.0,2.0,1285.0,Monthly,850,OR
261,1.0,0.0,1400.0,Monthly,355,CA
262,1.0,1.0,1595.0,Monthly,600,CA
263,1.0,1.0,1195.0,Monthly,650,TX
264,1.0,1.0,1600.0,Monthly,877,TX
265,1.0,1.0,1656.0,Monthly,705,TN
266,1.0,1.0,1035.0,Monthly,766,TX
267,1.0,1.0,972.0,Monthly,892,TX
268,1.0,1.0,1027.0,Monthly,677,TX
269,1.0,0.0,1350.0,Monthly,500,CA
270,1.0,1.0,1035.0,Monthly,660,TX
271,1.0,1.0,2017.0,Monthly,671,TX
272,1.0,2.0,800.0,Monthly,430,TX
273,1.5,1.0,1065.0,Monthly,1145,SD
274,1.0,2.0,897.0,Monthly,450,TX
275,2.5,2.0,1739.0,Monthly,1438,TX
276,1.0,2.0,1250.0,Monthly,552,TX
277,3.5,3.0,2800.0,Monthly,2232,FL
278,2.0,3.0,2350.0,Monthly,1857,CO
279,2.0,3.0,2000.0,Monthly,1198,CA
280,1.0,1.0,795.0,Monthly,737,TX
281,1.0,1.0,1280.0,Monthly,700,CA
282,2.0,2.0,2199.0,Monthly,764,WA
283,1.0,1.0,1050.0,Monthly,362,IL
284,1.0,1.0,2800.0,Monthly,850,CA
285,1.0,1.0,1730.0,Monthly,606,TX
286,1.0,1.0,900.0,Monthly,677,TX
287,1.0,1.0,955.0,Monthly,625,TX
288,1.0,2.0,1600.0,Monthly,1400,IL
289,1.0,1.0,1125.0,Monthly,642,TX
290,2.0,2.0,2499.0,Monthly,1590,CA
291,3.0,4.0,2400.0,Monthly,2516,FL
292,1.0,1.0,2640.0,Monthly,600,MI
293,1.0,1.0,3388.0,Monthly,960,CA
294,2.0,2.0,1990.0,Monthly,900,IL
295,2.0,3.0,1399.0,Monthly,1713,AZ
296,2.0,3.0,1599.0,Monthly,1413,NC
297,1.0,1.0,809.0,Monthly,653,TX
298,2.0,4.0,1399.0,Monthly,1633,GA
299,1.0,1.0,1489.0,Monthly,940,CO
300,1.0,1.0,690.0,Monthly,730,NE
301,1.0,1.0,937.0,Monthly,752,LA
302,1.0,1.0,740.0,Monthly,750,LA
303,2.0,2.0,565.0,Monthly,900,TX
304,1.0,1.0,1009.0,Monthly,826,FL
305,1.0,2.0,1565.0,Monthly,921,TN
306,1.0,2.0,700.0,Monthly,748,IA
307,1.0,2.0,725.0,Monthly,800,IA
308,1.0,3.0,960.0,Monthly,1050,IL
309,1.0,1.0,850.0,Monthly,273,IN
310,1.0,1.0,725.0,Monthly,600,IN
311,1.0,3.0,800.0,Monthly,500,NC
312,1.0,1.0,600.0,Monthly,660,TX
313,1.0,1.0,386.0,Monthly,375,WI
314,2.0,2.0,850.0,Monthly,1067,WI
315,1.0,0.0,799.0,Monthly,375,IN
316,1.0,2.0,750.0,Monthly,550,IN
317,1.0,1.0,799.0,Monthly,400,IN
318,2.0,4.0,1525.0,Monthly,1868,NC
319,2.0,2.0,2010.0,Monthly,930,CA
320,1.0,2.0,1245.0,Monthly,530,MN
321,1.0,1.0,1070.0,Monthly,800,MN
322,1.0,1.0,1450.0,Monthly,510,OR
323,1.0,1.0,1360.0,Monthly,624,WA
324,1.0,1.0,720.0,Monthly,600,OH
325,1.0,1.0,820.0,Monthly,460,CO
326,1.0,2.0,1200.0,Monthly,350,MA
327,1.0,1.0,895.0,Monthly,606,AK
328,1.0,2.0,955.0,Monthly,380,AK
329,2.0,2.0,1250.0,Monthly,1025,AK
330,1.0,2.0,1397.0,Monthly,913,WA
331,1.0,2.0,1030.0,Monthly,745,GA
332,1.0,1.0,902.0,Monthly,384,IL
333,1.0,1.0,1212.0,Monthly,723,TX
334,1.0,2.0,1450.0,Monthly,410,VA
335,1.0,1.0,938.0,Monthly,688,GA
336,1.0,1.0,3095.0,Monthly,432,CA
337,1.0,1.0,1326.0,Monthly,580,CO
338,1.0,1.0,1034.0,Monthly,651,GA
339,1.0,3.0,635.0,Monthly,520,TX
340,1.0,1.0,1675.0,Monthly,967,TX
341,1.0,2.0,1538.0,Monthly,481,CO
342,1.0,1.0,1410.0,Monthly,651,VA
343,1.0,1.0,941.0,Monthly,627,MD
344,1.0,1.0,1365.0,Monthly,617,AZ
345,1.0,1.0,1012.0,Monthly,646,TX
346,1.0,1.0,959.0,Monthly,774,TX
347,1.0,1.0,1192.0,Monthly,593,TX
348,1.0,1.0,2095.0,Monthly,798,CA
349,1.5,2.0,1100.0,Monthly,812,TX
350,1.0,0.0,1095.0,Monthly,231,WA
351,1.0,1.0,1350.0,Monthly,557,PA
352,1.0,1.0,1210.0,Monthly,1166,TX
353,1.0,1.0,965.0,Monthly,700,IA
354,1.0,1.0,750.0,Monthly,750,MI
355,1.0,1.0,1785.0,Monthly,800,CA
356,1.0,1.0,925.0,Monthly,500,UT
357,2.0,2.0,1950.0,Monthly,1100,SC
358,1.0,3.0,1895.0,Monthly,1100,OR
359,1.0,1.0,2095.0,Monthly,700,CA
360,1.0,2.0,2350.0,Monthly,700,CA
361,1.0,3.0,1695.0,Monthly,1406,WA
362,1.0,2.0,625.0,Monthly,800,ND
363,2.0,3.0,1375.0,Monthly,1347,FL
364,2.5,4.0,2600.0,Monthly,3200,FL
365,1.0,1.0,1290.0,Monthly,559,TX
366,2.5,3.0,1695.0,Monthly,1525,ND
367,1.0,2.0,595.0,Monthly,850,ND
368,1.0,2.0,545.0,Monthly,550,ND
369,1.0,1.0,1786.0,Monthly,650,TX
370,1.0,1.0,1200.0,Monthly,640,TX
371,1.0,1.0,915.0,Monthly,696,TX
372,1.0,2.0,1258.0,Monthly,531,TX
373,2.0,3.0,1250.0,Monthly,1348,AL
374,1.0,1.0,2035.0,Monthly,953,TX
375,1.0,3.0,1041.0,Monthly,450,TX
376,1.0,1.0,1740.0,Monthly,931,TX
377,1.0,1.0,1231.0,Monthly,652,TX
378,2.0,4.0,1095.0,Monthly,1584,MO
379,1.0,0.0,1299.0,Monthly,243,WA
380,1.0,1.0,1789.0,Monthly,678,TX
381,1.0,2.0,1040.0,Monthly,700,WA
382,2.0,2.0,785.0,Monthly,1200,MS
383,1.0,1.0,1002.0,Monthly,878,TX
384,3.5,5.0,2395.0,Monthly,4614,TX
385,2.0,2.0,4800.0,Monthly,1390,CA
386,1.0,2.0,900.0,Monthly,1050,MI
387,2.0,1.0,1743.0,Monthly,1130,MD
388,1.0,1.0,1028.0,Monthly,542,MD
389,1.0,1.0,950.0,Monthly,500,WI
390,1.0,1.0,840.0,Monthly,700,WI
391,1.0,1.0,1950.0,Monthly,1055,TX
392,1.0,1.0,826.0,Monthly,920,PA
393,2.0,3.0,1599.0,Monthly,1904,TX
394,1.0,1.0,5000.0,Monthly,914,CA
395,1.0,1.0,875.0,Monthly,669,NE
396,2.0,2.0,578.0,Monthly,901,TX
397,2.0,2.0,650.0,Monthly,955,AR
398,2.0,4.0,1625.0,Monthly,1684,TN
399,1.0,2.0,600.0,Monthly,420,IN
400,1.0,1.0,740.0,Monthly,600,IN
401,1.0,3.0,550.0,Monthly,470,IN
402,1.0,1.0,540.0,Monthly,385,IN
403,1.0,1.0,830.0,Monthly,525,MO
404,2.0,2.0,1438.0,Monthly,837,MO
405,2.0,2.0,1418.0,Monthly,931,AL
406,1.0,1.0,2075.0,Monthly,565,DC
407,1.0,1.0,450.0,Monthly,560,ND
408,1.0,1.0,720.0,Monthly,673,MN
409,1.0,1.0,1099.0,Monthly,685,IN
410,1.0,2.0,539.0,Monthly,815,OH
411,2.0,4.0,1575.0,Monthly,2064,NC
412,2.0,3.0,1299.0,Monthly,1728,IN
413,2.0,3.0,1525.0,Monthly,1835,GA
414,1.0,2.0,875.0,Monthly,867,AZ
415,1.0,1.0,757.0,Monthly,520,NE
416,1.0,1.0,975.0,Monthly,528,TX
417,1.0,1.0,815.0,Monthly,592,TX
418,1.0,2.0,1274.0,Monthly,984,MN
419,1.0,2.0,1230.0,Monthly,900,OH
420,1.0,1.0,940.0,Monthly,806,PA
421,1.0,1.0,1350.0,Monthly,477,OR
422,1.0,1.0,734.0,Monthly,758,TX
423,1.0,1.0,775.0,Monthly,637,KS
424,1.0,1.0,1400.0,Monthly,678,MA
425,1.0,1.0,1263.0,Monthly,630,CO
426,1.0,1.0,910.0,Monthly,644,TX
427,1.0,3.0,1889.0,Monthly,561,VA
428,1.0,1.0,1025.0,Monthly,566,TX
429,1.0,1.0,2749.0,Monthly,519,DC
430,1.0,2.0,1355.0,Monthly,663,VA
431,1.0,1.0,1710.0,Monthly,805,CA
432,1.0,1.0,2015.0,Monthly,782,NJ
433,1.0,1.0,1152.0,Monthly,861,TX
434,1.0,3.0,2044.0,Monthly,977,IL
435,1.0,1.0,1315.0,Monthly,820,TX
436,1.0,0.0,1150.0,Monthly,525,TX
437,1.0,1.0,950.0,Monthly,826,TX
438,1.0,1.0,1089.0,Monthly,670,TX
439,1.0,1.0,1029.0,Monthly,759,TX
440,1.0,4.0,2200.0,Monthly,1536,MO
441,2.0,2.0,2899.0,Monthly,1126,CA
442,1.0,1.0,1350.0,Monthly,508,OR
443,2.0,3.0,3495.0,Monthly,1675,WA
444,1.0,1.0,1295.0,Monthly,497,MN
445,2.5,2.0,3300.0,Monthly,1302,CA
446,2.5,3.0,1900.0,Monthly,2500,TN
447,1.0,1.0,1780.0,Monthly,520,HI
448,2.0,4.0,1495.0,Monthly,1715,OK
449,1.0,2.0,1795.0,Monthly,900,WA
450,1.0,1.0,925.0,Monthly,600,UT
451,1.0,2.0,1995.0,Monthly,500,CA
452,2.0,2.0,1995.0,Monthly,1150,CT
453,1.0,2.0,565.0,Monthly,915,ND
454,1.0,1.0,1795.0,Monthly,710,CT
455,1.0,0.0,925.0,Monthly,400,TX
456,1.0,1.0,965.0,Monthly,605,MI
457,1.0,3.0,1945.0,Monthly,1089,OR
458,1.0,1.0,1095.0,Monthly,644,TX
459,2.0,3.0,1399.0,Monthly,1372,TX
460,1.5,2.0,1009.0,Monthly,1138,FL
461,2.0,2.0,1995.0,Monthly,1245,NJ
462,1.0,1.0,1125.0,Monthly,600,TX
463,1.0,1.0,1185.0,Monthly,686,TX
464,1.0,1.0,890.0,Monthly,550,TX
465,2.0,3.0,2050.0,Monthly,936,CO
466,1.0,1.0,1126.0,Monthly,582,TX
467,1.0,1.0,1080.0,Monthly,647,TX
468,1.0,1.0,1060.0,Monthly,693,TX
469,1.0,1.0,1100.0,Monthly,634,TX
470,1.0,2.0,1246.0,Monthly,352,TX
471,1.0,1.0,1225.0,Monthly,620,TX
472,1.0,1.0,905.0,Monthly,600,TX
473,3.5,3.0,2050.0,Monthly,1700,TX
474,2.0,4.0,1825.0,Monthly,2239,TX
475,1.0,1.0,1499.0,Monthly,636,WA
476,1.0,1.0,959.0,Monthly,793,TX
477,7.0,7.0,9000.0,Monthly,4355,IN
478,1.0,3.0,670.0,Monthly,565,ND
479,1.0,1.0,1050.0,Monthly,700,TX
480,1.0,2.0,565.0,Monthly,850,OH
481,1.0,1.0,1850.0,Monthly,900,CA
482,1.0,1.0,1039.0,Monthly,775,TX
483,1.0,1.0,3100.0,Monthly,857,CA
484,1.0,1.0,1677.0,Monthly,723,CA
485,2.0,3.0,1599.0,Monthly,1445,TX
486,1.0,2.0,1242.0,Monthly,400,IL
487,1.0,2.0,1755.0,Monthly,941,IL
488,1.0,1.0,900.0,Monthly,250,MD
489,1.0,1.0,1295.0,Monthly,536,MD
490,1.0,1.0,770.0,Monthly,450,MO
491,1.0,2.0,1300.0,Monthly,900,OR
492,1.0,2.0,775.0,Monthly,1035,NE
493,1.0,1.0,1200.0,Monthly,603,LA
494,1.0,2.0,930.0,Monthly,523,IL
495,1.0,2.0,1000.0,Monthly,800,IN
496,1.0,1.0,600.0,Monthly,500,IA
497,1.0,2.0,825.0,Monthly,456,UT
498,1.0,1.0,690.0,Monthly,750,FL
499,3.0,3.0,1797.0,Monthly,905,IN
500,2.0,2.0,1199.0,Monthly,895,IN
501,2.0,4.0,1499.0,Monthly,2012,SC
502,1.0,1.0,1285.0,Monthly,960,WI
503,1.0,3.0,1338.0,Monthly,1022,MN
504,1.0,2.0,1290.0,Monthly,536,MN
505,1.0,2.0,2900.0,Monthly,1100,CA
506,1.0,1.0,1295.0,Monthly,533,OR
507,1.0,1.0,1445.0,Monthly,833,OR
508,1.0,1.0,790.0,Monthly,720,KS
509,1.0,1.0,980.0,Monthly,797,IN
510,1.0,1.0,811.0,Monthly,665,KY
511,1.0,1.0,779.0,Monthly,705,KY
512,1.0,1.0,780.0,Monthly,620,NC
513,1.0,1.0,1099.0,Monthly,540,FL
514,2.0,3.0,1275.0,Monthly,2032,GA
515,1.0,2.0,1222.0,Monthly,310,MA
516,1.0,2.0,1305.0,Monthly,500,CA
517,1.0,1.0,1937.0,Monthly,695,CA
518,1.0,1.0,1672.0,Monthly,640,CO
519,1.0,1.0,1141.0,Monthly,596,TX
520,1.0,2.0,2145.0,Monthly,622,MA
521,1.0,1.0,1370.0,Monthly,820,TX
522,1.0,2.0,1061.0,Monthly,489,TX
523,1.0,1.0,2465.0,Monthly,685,CA
524,2.0,4.0,1249.0,Monthly,1600,SC
525,2.0,4.0,1899.0,Monthly,1962,TX
526,1.0,2.0,2040.0,Monthly,975,IL
527,1.0,2.0,1225.0,Monthly,995,MN
528,1.0,1.0,1060.0,Monthly,1003,TX
529,1.0,1.0,1261.0,Monthly,643,TX
530,1.0,1.0,932.0,Monthly,675,TX
531,3.5,3.0,1900.0,Monthly,1911,TX
532,2.0,2.0,2977.0,Monthly,1031,CA
533,1.0,2.0,1275.0,Monthly,700,IL
534,1.5,2.0,1499.0,Monthly,1000,OR
535,2.5,3.0,1599.0,Monthly,1705,UT
536,1.0,1.0,880.0,Monthly,520,CO
537,2.0,2.0,11000.0,Monthly,1322,CA
538,3.0,3.0,4500.0,Monthly,2100,CA
539,1.0,0.0,1345.0,Monthly,600,DC
540,1.0,1.0,1295.0,Monthly,640,MN
541,1.0,2.0,725.0,Monthly,850,ND
542,1.0,2.0,1845.0,Monthly,861,CA
543,2.5,3.0,2000.0,Monthly,2000,AL
544,2.0,4.0,1750.0,Monthly,1980,SD
545,1.0,1.0,1449.0,Monthly,605,OR
546,1.0,2.0,1270.0,Monthly,441,OR
547,1.0,2.0,1235.0,Monthly,1080,TN
548,1.0,1.0,960.0,Monthly,593,AZ
549,1.0,1.0,1500.0,Monthly,850,VA
550,2.0,3.0,2895.0,Monthly,1562,OR
551,2.0,2.0,920.0,Monthly,960,ND
552,1.0,1.0,685.0,Monthly,640,ND
553,1.0,1.0,1860.0,Monthly,672,TX
554,1.0,1.0,2290.0,Monthly,789,CA
555,1.0,1.0,1668.0,Monthly,592,TX
556,1.0,2.0,1350.0,Monthly,1207,MN
557,1.0,1.0,1250.0,Monthly,538,OR
